window_idx,peak_freq_original,power_before_40Hz,power_before_50Hz,power_before_60Hz,label_before,max_power_before,SVM_mapped_freq,SVM_power_40Hz,SVM_power_50Hz,SVM_power_60Hz,SVM_max_power,SVM_improvement,RF_mapped_freq,RF_power_40Hz,RF_power_50Hz,RF_power_60Hz,RF_max_power,RF_improvement,KNN_mapped_freq,KNN_power_40Hz,KNN_power_50Hz,KNN_power_60Hz,KNN_max_power,KNN_improvement,XGB_mapped_freq,XGB_power_40Hz,XGB_power_50Hz,XGB_power_60Hz,XGB_max_power,XGB_improvement,file_name
10,36.50767134655056,4394895.503561853,291959.89801877376,78539.7593739115,40,4394895.503561853,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,20737845.725156482,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,20737845.725156482,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,20737845.725156482,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,20737845.725156482,mpu_raw_optimized_driving_1_20251204_113252.csv
11,37.07368175502421,6039706.92555758,338191.141575573,87966.99924800238,40,6039706.92555758,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19093034.303160757,60,1204112.0107607578,3758311.4575868044,37699111.84307751,37699111.84307751,31659404.91751993,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19093034.303160757,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19093034.303160757,mpu_raw_optimized_driving_1_20251204_113252.csv
12,37.35668695926103,7126815.529022,364301.6323487081,93098.67981594392,40,7126815.529022,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,18005925.699696336,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,18005925.699696336,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,18005925.699696336,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,18005925.699696336,mpu_raw_optimized_driving_1_20251204_113252.csv
13,36.50767134655056,4394895.503561853,291959.89801877376,78539.7593739115,40,4394895.503561853,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,20737845.725156482,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,20737845.725156482,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,20737845.725156482,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,20737845.725156482,mpu_raw_optimized_driving_1_20251204_113252.csv
14,36.79067655078738,5140209.106178912,314138.8491400867,83119.59211206983,40,5140209.106178912,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19992532.122539423,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19992532.122539423,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19992532.122539423,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19992532.122539423,mpu_raw_optimized_driving_1_20251204_113252.csv
15,36.22466614231373,3775424.480575683,271488.4973173445,74211.88887467381,40,3775424.480575683,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,mpu_raw_optimized_driving_1_20251204_113252.csv
16,35.9416609380769,3258434.593498482,252575.68903270582,70121.37563476853,40,3258434.593498482,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21874306.635219853,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21874306.635219853,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21874306.635219853,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21874306.635219853,mpu_raw_optimized_driving_1_20251204_113252.csv
17,35.9416609380769,3258434.593498482,252575.68903270582,70121.37563476853,40,3258434.593498482,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21874306.635219853,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21874306.635219853,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21874306.635219853,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21874306.635219853,mpu_raw_optimized_driving_1_20251204_113252.csv
18,36.50767134655056,4394895.503561853,291959.89801877376,78539.7593739115,40,4394895.503561853,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,20737845.725156482,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,20737845.725156482,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,20737845.725156482,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,20737845.725156482,mpu_raw_optimized_driving_1_20251204_113252.csv
19,37.07368175502421,6039706.92555758,338191.141575573,87966.99924800238,40,6039706.92555758,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19093034.303160757,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19093034.303160757,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19093034.303160757,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19093034.303160757,mpu_raw_optimized_driving_1_20251204_113252.csv
20,36.22466614231373,3775424.480575683,271488.4973173445,74211.88887467381,40,3775424.480575683,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,mpu_raw_optimized_driving_1_20251204_113252.csv
21,36.22466614231373,3775424.480575683,271488.4973173445,74211.88887467381,40,3775424.480575683,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,mpu_raw_optimized_driving_1_20251204_113252.csv
